GID,LBL,VAL
나나8774,"5.00",5.0000000000
나나8775,"31.00",31.0000000000
나나8776,"16.00",16.0000000000
나나8777,"110.00",110.0000000000
나나8778,"465.00",465.0000000000
나나8779,"30.00",30.0000000000
나나8780,"1.00",1.0000000000
나나8781,,0.0000000000
나나8782,,0.0000000000
나나8783,,0.0000000000
나나8784,"2.00",2.0000000000
나나8785,"164.00",164.0000000000
나나8786,"97.00",97.0000000000
나나8787,"8.00",8.0000000000
나나8788,"37.00",37.0000000000
나나8789,"12.00",12.0000000000
나나8790,"31.00",31.0000000000
나나8791,"99.00",99.0000000000
나나8792,"110.00",110.0000000000
나나8793,"244.00",244.0000000000
나나8794,"122.00",122.0000000000
나나8795,"466.00",466.0000000000
나나8870,,0.0000000000
나나8871,"545.00",545.0000000000
나나8872,"286.00",286.0000000000
나나8873,"259.00",259.0000000000
나나8874,"546.00",546.0000000000
나나8875,"163.00",163.0000000000
나나8876,"45.00",45.0000000000
나나8877,"589.00",589.0000000000
나나8878,"351.00",351.0000000000
나나8879,,0.0000000000
나나8880,,0.0000000000
나나8881,,0.0000000000
나나8882,,0.0000000000
나나8883,,0.0000000000
나나8884,"3.00",3.0000000000
나나8885,"252.00",252.0000000000
나나8886,"135.00",135.0000000000
나나8887,"4.00",4.0000000000
나나8888,"6.00",6.0000000000
나나8889,"18.00",18.0000000000
나나8890,"14.00",14.0000000000
나나8891,"29.00",29.0000000000
나나8892,"191.00",191.0000000000
나나8893,"30.00",30.0000000000
나나8894,"423.00",423.0000000000
나나8895,"623.00",623.0000000000
나나8896,,0.0000000000
나나8969,,0.0000000000
나나8971,"73.00",73.0000000000
나나8972,"47.00",47.0000000000
나나8973,"28.00",28.0000000000
나나8974,"203.00",203.0000000000
나나8975,"24.00",24.0000000000
나나8976,"64.00",64.0000000000
나나8977,"66.00",66.0000000000
나나8978,"183.00",183.0000000000
나나8979,"1.00",1.0000000000
나나8980,,0.0000000000
나나8981,,0.0000000000
나나8982,,0.0000000000
나나8983,,0.0000000000
나나8984,"23.00",23.0000000000
나나8985,"56.00",56.0000000000
나나8986,"35.00",35.0000000000
나나8987,"2.00",2.0000000000
나나8988,"25.00",25.0000000000
나나8989,"9.00",9.0000000000
나나8990,"5.00",5.0000000000
나나8991,"34.00",34.0000000000
나나8992,"672.00",672.0000000000
나나8993,"265.00",265.0000000000
나나8994,"6.00",6.0000000000
나나8995,"717.00",717.0000000000
나나8996,"251.00",251.0000000000
나나8997,"233.00",233.0000000000
나나8998,,0.0000000000
나나9072,"4.00",4.0000000000
나나9073,"482.00",482.0000000000
나나9074,"341.00",341.0000000000
나나9075,"1.00",1.0000000000
나나9076,"5.00",5.0000000000
나나9077,"226.00",226.0000000000
나나9078,"153.00",153.0000000000
나나9079,"243.00",243.0000000000
나나9080,"16.00",16.0000000000
나나9081,,0.0000000000
나나9082,,0.0000000000
나나9083,"21.00",21.0000000000
나나9084,"99.00",99.0000000000
나나9085,"17.00",17.0000000000
나나9086,"4.00",4.0000000000
나나9087,"5.00",5.0000000000
나나9088,"8.00",8.0000000000
나나9089,"9.00",9.0000000000
나나9090,"10.00",10.0000000000
나나9091,"14.00",14.0000000000
나나9092,"71.00",71.0000000000
나나9093,"72.00",72.0000000000
나나9094,"274.00",274.0000000000
나나9095,"41.00",41.0000000000
나나9096,"67.00",67.0000000000
나나9097,"1634.00",1634.0000000000
나나9098,,0.0000000000
나나9172,"305.00",305.0000000000
나나9173,"1778.00",1778.0000000000
나나9174,"277.00",277.0000000000
나나9175,,0.0000000000
나나9176,"8.00",8.0000000000
나나9177,"156.00",156.0000000000
나나9178,"94.00",94.0000000000
